Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date,Tasa de Desempleo,Num. Personas Desempleadas,Num. Personas Empleadas,Num. Personas Grupo Trabajador
Adjuntas,34.0,0.0,0.0,4.0,1.0,12.0,16.0,1.0,2010-01-01,19.7,1063.0,3959.0,5263.0
Ponce,243.0,4.0,0.0,26.0,14.0,52.0,123.0,24.0,2010-01-01,14.8,9336.0,51648.0,56538.0
Peñuelas,12.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,2010-01-01,20.2,1859.0,7205.0,7680.0
Patillas,13.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,2010-01-01,23.5,1704.0,4639.0,6241.0
Orocovis,22.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,2010-01-01,23.8,1206.0,4138.0,6018.0
Naranjito,38.0,1.0,0.0,2.0,2.0,14.0,12.0,7.0,2010-01-01,17.9,1543.0,6750.0,8251.0
Naguabo,20.0,2.0,0.0,0.0,1.0,15.0,2.0,0.0,2010-01-01,22.8,2044.0,5687.0,9338.0
Morovis,21.0,0.0,0.0,0.0,1.0,10.0,5.0,5.0,2010-01-01,21.1,2061.0,7162.0,9380.0
Quebradillas,12.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,2010-01-01,16.1,1236.0,6976.0,6777.0
Moca,20.0,0.0,0.0,1.0,0.0,8.0,8.0,3.0,2010-01-01,16.1,2503.0,12445.0,12266.0
Maunabo,6.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2010-01-01,24.0,942.0,2631.0,3672.0
Maricao,12.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2010-01-01,20.3,449.0,1472.0,2351.0
Manatí,39.0,1.0,0.0,1.0,2.0,8.0,8.0,19.0,2010-01-01,17.8,2660.0,11578.0,13877.0
Luquillo,41.0,4.0,0.0,0.0,6.0,18.0,13.0,0.0,2010-01-01,20.4,1522.0,5247.0,7427.0
Loiza,43.0,2.0,0.0,6.0,2.0,14.0,16.0,3.0,2010-01-01,19.7,1719.0,6801.0,10451.0
Las Piedras,26.0,1.0,0.0,5.0,0.0,9.0,10.0,1.0,2010-01-01,17.6,2458.0,10311.0,12557.0
Las Marías,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2010-01-01,15.8,665.0,3458.0,3598.0
Mayagüez,170.0,1.0,0.0,12.0,5.0,45.0,95.0,12.0,2010-01-01,17.3,5055.0,23409.0,28291.0
Lares,51.0,0.0,0.0,6.0,3.0,22.0,19.0,1.0,2010-01-01,15.5,1655.0,9568.0,8045.0
Rincón,13.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,2010-01-01,18.5,957.0,4559.0,5113.0
Sabana Grande,26.0,0.0,0.0,1.0,1.0,7.0,16.0,1.0,2010-01-01,17.5,1621.0,7410.0,7608.0
Yauco,38.0,0.0,0.0,6.0,4.0,6.0,15.0,7.0,2010-01-01,15.3,2640.0,13204.0,12314.0
Yabucoa,38.0,0.0,0.0,3.0,3.0,17.0,14.0,1.0,2010-01-01,22.8,2887.0,8217.0,11274.0
Villalba,7.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2010-01-01,19.6,2151.0,7531.0,9174.0
Vieques,19.0,0.0,0.0,2.0,0.0,8.0,8.0,1.0,2010-01-01,24.1,771.0,2280.0,3274.0
Vega Baja,56.0,2.0,0.0,11.0,1.0,15.0,10.0,17.0,2010-01-01,16.8,3551.0,16264.0,16703.0
Vega Alta,44.0,1.0,0.0,9.0,5.0,8.0,10.0,11.0,2010-01-01,15.7,1861.0,9905.0,11042.0
Utuado,90.0,0.0,0.0,2.0,3.0,43.0,42.0,0.0,2010-01-01,19.1,1636.0,7006.0,8093.0
Rio Grande,51.0,1.0,0.0,15.0,5.0,12.0,16.0,2.0,2010-01-01,16.6,2913.0,14387.0,19297.0
