,Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date
0,Adjuntas,34,0.0,0.0,0.0,1.0,16.0,16,1.0,2010-01-01
1,Ponce,262,11.0,0.0,28.0,27.0,50.0,125,21.0,2010-01-01
2,Peñuelas,12,0.0,1.0,2.0,1.0,2.0,5,1.0,2010-01-01
3,Patillas,17,0.0,0.0,1.0,3.0,8.0,5,0.0,2010-01-01
4,Orocovis,34,0.0,0.0,0.0,2.0,25.0,6,1.0,2010-01-01
5,Naranjito,22,0.0,0.0,3.0,1.0,6.0,10,2.0,2010-01-01
6,Naguabo,27,1.0,0.0,4.0,4.0,11.0,6,1.0,2010-01-01
7,Morovis,15,0.0,0.0,1.0,2.0,8.0,2,2.0,2010-01-01
8,Quebradillas,8,0.0,0.0,0.0,0.0,5.0,3,0.0,2010-01-01
9,Moca,10,0.0,0.0,0.0,1.0,6.0,3,0.0,2010-01-01
10,Maunabo,5,0.0,0.0,0.0,2.0,2.0,1,0.0,2010-01-01
11,Maricao,13,0.0,0.0,0.0,0.0,6.0,7,0.0,2010-01-01
12,Manatí,38,0.0,0.0,2.0,1.0,13.0,5,17.0,2010-01-01
13,Luquillo,34,0.0,0.0,0.0,3.0,17.0,13,1.0,2010-01-01
14,Loiza,37,0.0,0.0,3.0,3.0,10.0,17,4.0,2010-01-01
15,Las Piedras,50,0.0,0.0,7.0,3.0,24.0,15,1.0,2010-01-01
16,Las Marías,11,0.0,0.0,0.0,0.0,9.0,2,0.0,2010-01-01
17,Mayagüez,149,1.0,0.0,8.0,4.0,38.0,86,12.0,2010-01-01
18,Lares,52,0.0,0.0,1.0,0.0,27.0,22,2.0,2010-01-01
19,Rincón,9,0.0,0.0,0.0,0.0,3.0,6,0.0,2010-01-01
20,Sabana Grande,24,0.0,0.0,1.0,0.0,8.0,15,0.0,2010-01-01
21,Yauco,39,0.0,0.0,5.0,2.0,13.0,16,3.0,2010-01-01
22,Yabucoa,44,0.0,0.0,7.0,2.0,20.0,15,0.0,2010-01-01
23,Villalba,8,0.0,0.0,0.0,1.0,6.0,0,1.0,2010-01-01
24,Vieques,24,1.0,0.0,0.0,2.0,9.0,12,0.0,2010-01-01
25,Vega Baja,58,0.0,0.0,8.0,4.0,11.0,22,13.0,2010-01-01
26,Vega Alta,70,0.0,0.0,7.0,4.0,12.0,25,22.0,2010-01-01
27,Utuado,67,0.0,0.0,2.0,0.0,30.0,34,1.0,2010-01-01
28,Rio Grande,46,1.0,0.0,9.0,1.0,16.0,17,2.0,2010-01-01
29,Trujillo Alto,93,1.0,0.0,11.0,7.0,33.0,30,11.0,2010-01-01
30,Toa Alta,44,1.0,0.0,6.0,0.0,16.0,13,8.0,2010-01-01
31,Santa Isabel,34,3.0,0.0,3.0,0.0,7.0,20,1.0,2010-01-01
32,San Sebastián,74,0.0,1.0,2.0,4.0,31.0,30,6.0,2010-01-01
33,San Lorenzo,25,3.0,0.0,5.0,1.0,13.0,1,2.0,2010-01-01
34,San Juan,936,17.0,1.0,146.0,34.0,114.0,488,136.0,2010-01-01
35,San Germán,15,0.0,0.0,0.0,0.0,7.0,6,2.0,2010-01-01
36,Salinas,76,2.0,0.0,2.0,5.0,24.0,39,4.0,2010-01-01
37,Toa Baja,120,2.0,0.0,27.0,3.0,31.0,40,17.0,2010-01-01
38,Lajas,16,0.0,0.0,1.0,0.0,6.0,8,1.0,2010-01-01
39,Aguada ,40,0.0,0.0,1.0,5.0,15.0,19,0.0,2010-01-01
