,Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date
0,Adjuntas,34.0,0.0,0.0,4.0,1.0,12.0,16.0,1.0,2010-01-01
1,Ponce,243.0,4.0,0.0,26.0,14.0,52.0,123.0,24.0,2010-01-01
2,Peñuelas,12.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,2010-01-01
3,Patillas,13.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,2010-01-01
4,Orocovis,22.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,2010-01-01
5,Naranjito,38.0,1.0,0.0,2.0,2.0,14.0,12.0,7.0,2010-01-01
6,Naguabo,20.0,2.0,0.0,0.0,1.0,15.0,2.0,0.0,2010-01-01
7,Morovis,21.0,0.0,0.0,0.0,1.0,10.0,5.0,5.0,2010-01-01
8,Quebradillas,12.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,2010-01-01
9,Moca,20.0,0.0,0.0,1.0,0.0,8.0,8.0,3.0,2010-01-01
10,Maunabo,6.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2010-01-01
11,Maricao,12.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2010-01-01
12,Manatí,39.0,1.0,0.0,1.0,2.0,8.0,8.0,19.0,2010-01-01
13,Luquillo,41.0,4.0,0.0,0.0,6.0,18.0,13.0,0.0,2010-01-01
14,Loiza,43.0,2.0,0.0,6.0,2.0,14.0,16.0,3.0,2010-01-01
15,Las Piedras,26.0,1.0,0.0,5.0,0.0,9.0,10.0,1.0,2010-01-01
16,Las Marías,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2010-01-01
17,Mayagüez,170.0,1.0,0.0,12.0,5.0,45.0,95.0,12.0,2010-01-01
18,Lares,51.0,0.0,0.0,6.0,3.0,22.0,19.0,1.0,2010-01-01
19,Rincón,13.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,2010-01-01
20,Sabana Grande,26.0,0.0,0.0,1.0,1.0,7.0,16.0,1.0,2010-01-01
21,Yauco,38.0,0.0,0.0,6.0,4.0,6.0,15.0,7.0,2010-01-01
22,Yabucoa,38.0,0.0,0.0,3.0,3.0,17.0,14.0,1.0,2010-01-01
23,Villalba,7.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2010-01-01
24,Vieques,19.0,0.0,0.0,2.0,0.0,8.0,8.0,1.0,2010-01-01
25,Vega Baja,56.0,2.0,0.0,11.0,1.0,15.0,10.0,17.0,2010-01-01
26,Vega Alta,44.0,1.0,0.0,9.0,5.0,8.0,10.0,11.0,2010-01-01
27,Utuado,90.0,0.0,0.0,2.0,3.0,43.0,42.0,0.0,2010-01-01
28,Rio Grande,51.0,1.0,0.0,15.0,5.0,12.0,16.0,2.0,2010-01-01
29,Trujillo Alto,71.0,0.0,0.0,8.0,1.0,29.0,29.0,4.0,2010-01-01
