Date,Municipio o Area,Tasa de Desempleo,Num. Personas Desempleadas,Num. Personas Empleadas,Num. Personas Grupo Trabajador
2020-08-01,Puerto Rico SA,8.3,86123.0,951707.0,1037830.0
2020-07-01,Puerto Rico SA,8.5,87804.0,946949.0,1034753.0
2020-06-01,Puerto Rico SA,8.9,92311.0,942830.0,1035141.0
2020-05-01,Puerto Rico SA,9.0,93122.0,939024.0,1032146.0
2020-02-01,Puerto Rico SA,8.5,92713.0,975464.0,1048791.0
2020-01-01,Puerto Rico SA,8.5,93776.0,974958.0,1055984.0
2019-12-01,Puerto Rico SA,8.3,90417.0,978256.0,1065881.0
2019-11-01,Puerto Rico SA,7.9,90149.0,988871.0,1065107.0
2019-10-01,Puerto Rico SA,7.6,88536.0,1000434.0,1066792.0
2019-09-01,Puerto Rico SA,7.5,85249.0,1008172.0,1074120.0
2019-08-01,Puerto Rico SA,7.7,82603.0,1009075.0,1083037.0
2019-07-01,Puerto Rico SA,8.0,82251.0,1003803.0,1090423.0
2019-06-01,Puerto Rico SA,8.4,84214.0,995794.0,1093289.0
2019-05-01,Puerto Rico SA,8.6,87662.0,987566.0,1091465.0
2019-04-01,Puerto Rico SA,8.7,91126.0,981630.0,1086920.0
2019-03-01,Puerto Rico SA,8.6,93341.0,979071.0,1080907.0
2019-02-01,Puerto Rico SA,8.5,93531.0,979158.0,1075161.0
2019-01-01,Puerto Rico SA,8.3,92226.0,980839.0,1071297.0
2018-12-01,Puerto Rico SA,8.3,90557.0,982842.0,1069715.0
2018-11-01,Puerto Rico SA,8.4,89204.0,984221.0,1070043.0
2018-10-01,Puerto Rico SA,8.6,88957.0,984683.0,1071799.0
2018-09-01,Puerto Rico SA,8.9,90406.0,984200.0,1074627.0
2018-08-01,Puerto Rico SA,9.2,93221.0,982218.0,1077904.0
2018-07-01,Puerto Rico SA,9.5,96382.0,979008.0,1080582.0
2018-06-01,Puerto Rico SA,9.7,99552.0,976621.0,1081770.0
2018-05-01,Puerto Rico SA,10.0,102517.0,974969.0,1081525.0
2018-04-01,Puerto Rico SA,10.2,105129.0,973105.0,1081750.0
2018-03-01,Puerto Rico SA,10.5,107916.0,970913.0,1082885.0
2018-02-01,Puerto Rico SA,10.7,110708.0,968707.0,1083813.0
2018-01-01,Puerto Rico SA,10.9,113506.0,966577.0,1084419.0
2017-12-01,Puerto Rico SA,11.3,116222.0,924285.0,1084929.0
2017-11-01,Puerto Rico SA,10.7,117848.0,964344.0,1084425.0
2017-10-01,Puerto Rico SA,10.5,117463.0,965193.0,1041748.0
2017-09-01,Puerto Rico SA,10.4,115616.0,968862.0,1079960.0
