month,gross_generation,net_generation,max_demand,gross_generation_aee,net_generation_aee,comments
3/1/2023,"1,426.01","1,373.59",2374,"1,001.02",948.601412,none
2/1/2023,"1,246.76","1,204.80",2258,804.26,762.305316,none
1/1/2023,"1,377.31","1,326.01",2261,797.92,746.620797,none
12/1/2022,"1,448.27","1,395.08",2382,857.79,804.59629,none
11/1/2022,"1,488.34","1,444.71",2490,927.18,919.923,none
10/1/2022,"1,588.02","1,544.23",2646,992.49,948.701,none
9/1/2022,"1,311.78","1,267.50",2877,908.65,864.36,Los datos de generacion de la AEE fueron revisados de julio y agosto del FY 2023.
8/1/2022,"1,747.48","1,684.18",2870,"1,195.38","1,132.07",none
7/1/2022,"1,690.69","1,626.41",2785,"1,144.34","1,080.06",Los datos de generacion de la AEE fueron revisados de febrero a junio del FY 2022.
6/1/2022,"1,713.55","1,653.38",2922,"1,059.02",998.85,none
5/1/2022,"1,666.00","1,605.84",2794,991.29,931.13,Los datos de generacion neta y bruta son preliminares.
4/1/2022,"1,386.17","1,338.71",2466,808.33,760.86,Los datos del mes de abril son preliminares.
3/1/2022,"1,504.81","1,454.07",2429,869.59,818.85,Los datos del mes de marzo son preliminares. Los costos de combustible de agosto 2021 a marzo 2022 fueron revisados.
2/1/2022,"1,311.39","1,259.38",2373,876.47,824.46,Los costos de combustible de enero fueron revisados.
1/1/2022,"1,468.79","1,402.58",2412,965.98,899.77,none
12/1/2021,"1,554.37","1,493.12",2604,"1,026.72",965.47,Los datos de generacion neta y bruta cambiaron por una revision en renovable solar.
11/1/2021,"1,601.18","1,539.74",2642,"1,133.75","1,072.31",none
10/1/2021,"1,713.58","1,656.21",2793,"1,087.85","1,030.49",none
9/1/2021,"1,718.20","1,666.80",2929,"1,086.57","1,035.20",none
8/1/2021,"1,829.70","1,770.80",2960,"1,232.56","1,154.40",none
7/1/2021,"1,757.50","1,695.90",2801,"1,161.34","1,099.70",none
6/1/2021,"1,592.30","1,535.80",2718,"1,089.30","1,032.80",none
5/1/2021,"1,654.00","1,598.30",2761,"1,009.90",954.2,none
4/1/2021,"1,504.20","1,451.50",2626,848.8,797.1,none
3/1/2021,"1,500.80","1,455.90",2449,870.5,826,none
2/1/2021,"1,319.70","1,280.80",2349,734.7,695.8,none
1/1/2021,"1,438.30","1,392.90",2331,833.5,788.1,none
12/1/2020,"1,510.90","1,462.70",2508,887.8,839.6,none
11/1/2020,"1,517.30","1,467.20",2503,893.7,843.5,none
10/1/2020,"1,674.00","1,618.10",2700,"1,027.30",971.5,"El costo promedio del Gas Natural incluye las transferencia a Ecoléctrica. Se modificó el contrato a partir de octubre de 2020, en el cual la Autoridad adquiere el combustible."
9/1/2020,"1,696.40","1,637.10",2848,"1,089.50","1,030.30",none
8/1/2020,"1,782.70","1,717.30",2945,"1,227.10","1,161.60",none
7/1/2020,"1,731.90","1,669.60",2856,"1,250.30","1,188.00",La devolución de la tarifa provisional cobrada en exceso de agosto 2016 a abril 2019 (TUP) concluyó el 30 de junio de 2020. Las cantidades incluidas en julio 2020 son cancelaciones y ajustes de meses anteriores.
6/1/2020,"1,686.40","1,630.40",2911,"1,162.20","1,106.20",none
5/1/2020,"1,612.90","1,560.90",2656,992.9,940.8,none
