region,total_customers,affected_customers,created_at
ARECIBO,177369,6859,2023-01-18T15:00:00
BAYAMON,216496,59,2023-01-18T15:00:00
CAROLINA,141663,31,2023-01-18T15:00:00
CAGUAS,250514,575,2023-01-18T15:00:00
MAYAGUEZ,216605,7871,2023-01-18T15:00:00
PONCE,212508,598,2023-01-18T15:00:00
SAN JUAN,253068,9,2023-01-18T15:00:00
ARECIBO,177369,944,2022-11-12T21:00:00
BAYAMON,216496,19,2022-11-12T21:00:00
CAROLINA,141663,1,2022-11-12T21:00:00
CAGUAS,250514,198,2022-11-12T21:00:00
MAYAGUEZ,216605,184,2022-11-12T21:00:00
PONCE,212508,193,2022-11-12T21:00:00
SAN JUAN,253068,4,2022-11-12T21:00:00
ARECIBO,177369,189,2022-03-09T12:00:00
BAYAMON,216496,1173,2022-03-09T12:00:00
CAROLINA,141663,212,2022-03-09T12:00:00
CAGUAS,250514,36,2022-03-09T12:00:00
MAYAGUEZ,216605,144,2022-03-09T12:00:00
PONCE,212508,71,2022-03-09T12:00:00
SAN JUAN,253068,27,2022-03-09T12:00:00
ARECIBO,177369,226,2022-09-10T00:00:00
BAYAMON,216496,226,2022-09-10T00:00:00
CAROLINA,141663,115,2022-09-10T00:00:00
CAGUAS,250514,103,2022-09-10T00:00:00
MAYAGUEZ,216605,698,2022-09-10T00:00:00
PONCE,212508,4,2022-09-10T00:00:00
SAN JUAN,253068,521,2022-09-10T00:00:00
ARECIBO,177369,192,2022-08-01T18:00:00
BAYAMON,216496,246,2022-08-01T18:00:00
CAROLINA,141663,195,2022-08-01T18:00:00
CAGUAS,250514,131,2022-08-01T18:00:00
MAYAGUEZ,216605,2133,2022-08-01T18:00:00
PONCE,212508,11,2022-08-01T18:00:00
SAN JUAN,253068,202,2022-08-01T18:00:00
ARECIBO,177369,4,2023-02-16T06:00:00
BAYAMON,216496,109,2023-02-16T06:00:00
CAROLINA,141663,0,2023-02-16T06:00:00
CAGUAS,250514,282,2023-02-16T06:00:00
MAYAGUEZ,216605,4956,2023-02-16T06:00:00
PONCE,212508,5,2023-02-16T06:00:00
SAN JUAN,253068,33,2023-02-16T06:00:00
ARECIBO,177369,24,2022-12-25T06:00:00
BAYAMON,216496,40,2022-12-25T06:00:00
CAROLINA,141663,0,2022-12-25T06:00:00
CAGUAS,250514,293,2022-12-25T06:00:00
MAYAGUEZ,216605,0,2022-12-25T06:00:00
PONCE,212508,65,2022-12-25T06:00:00
SAN JUAN,253068,642,2022-12-25T06:00:00
ARECIBO,177369,495,2023-02-12T12:00:00
BAYAMON,216496,85,2023-02-12T12:00:00
CAROLINA,141663,1,2023-02-12T12:00:00
CAGUAS,250514,39,2023-02-12T12:00:00
MAYAGUEZ,216605,68,2023-02-12T12:00:00
PONCE,212508,9,2023-02-12T12:00:00
SAN JUAN,253068,252,2023-02-12T12:00:00
ARECIBO,177369,399,2022-09-13T06:00:00
BAYAMON,216496,2328,2022-09-13T06:00:00
CAROLINA,141663,5,2022-09-13T06:00:00
CAGUAS,250514,43,2022-09-13T06:00:00
MAYAGUEZ,216605,58,2022-09-13T06:00:00
PONCE,212508,82,2022-09-13T06:00:00
SAN JUAN,253068,5510,2022-09-13T06:00:00
ARECIBO,177369,96,2022-11-09T03:00:00
BAYAMON,216496,15,2022-11-09T03:00:00
CAROLINA,141663,2,2022-11-09T03:00:00
CAGUAS,250514,983,2022-11-09T03:00:00
MAYAGUEZ,216605,598,2022-11-09T03:00:00
PONCE,212508,1049,2022-11-09T03:00:00
SAN JUAN,253068,4,2022-11-09T03:00:00
ARECIBO,177369,636,2022-04-25T18:00:00
BAYAMON,216496,560,2022-04-25T18:00:00
CAROLINA,141663,3,2022-04-25T18:00:00
CAGUAS,250514,27,2022-04-25T18:00:00
MAYAGUEZ,216605,222,2022-04-25T18:00:00
PONCE,212508,145,2022-04-25T18:00:00
SAN JUAN,253068,32,2022-04-25T18:00:00
ARECIBO,177369,1306,2023-02-11T18:00:00
BAYAMON,216496,377,2023-02-11T18:00:00
CAROLINA,141663,2,2023-02-11T18:00:00
CAGUAS,250514,43,2023-02-11T18:00:00
MAYAGUEZ,216605,309,2023-02-11T18:00:00
PONCE,212508,6531,2023-02-11T18:00:00
SAN JUAN,253068,352,2023-02-11T18:00:00
ARECIBO,177369,200,2022-10-12T09:00:00
BAYAMON,216496,186,2022-10-12T09:00:00
CAROLINA,141663,4,2022-10-12T09:00:00
