State,Estimates (2020),2020,2021,2022
San Juan ,342259.0,341667.0,339335.0,334776.0
Bayamón ,185187.0,184954.0,183960.0,181577.0
Carolina ,154815.0,154557.0,153505.0,151571.0
Ponce ,137491.0,137149.0,134754.0,132138.0
Caguas ,127244.0,127072.0,126604.0,125136.0
Guaynabo ,89780.0,89758.0,89721.0,89057.0
Arecibo ,87754.0,87637.0,87144.0,86090.0
Toa Baja ,75293.0,75092.0,74189.0,72783.0
Mayagüez ,73077.0,72843.0,71917.0,70609.0
Trujillo Alto ,67740.0,67687.0,67520.0,66810.0
Toa Alta ,66852.0,66842.0,66710.0,66041.0
Aguadilla ,55101.0,55046.0,54632.0,53931.0
Vega Baja ,54414.0,54357.0,54228.0,53684.0
Humacao ,50896.0,50824.0,50524.0,49924.0
Cabo Rojo ,47158.0,47121.0,47092.0,46718.0
Juana Díaz ,46538.0,46499.0,46370.0,45923.0
Río Grande ,47060.0,47005.0,46575.0,45840.0
Isabela ,42943.0,42939.0,42983.0,42754.0
Canóvanas ,42337.0,42326.0,42145.0,41637.0
Cayey ,41652.0,41587.0,41308.0,40782.0
Gurabo ,40622.0,40589.0,40488.0,40061.0
Cidra ,39970.0,39957.0,39908.0,39515.0
San Sebastián ,39345.0,39312.0,39279.0,38969.0
Manatí ,39492.0,39451.0,39258.0,38751.0
Hatillo ,38486.0,38447.0,38382.0,38021.0
Aguada ,38136.0,38108.0,38003.0,37666.0
Moca ,37460.0,37455.0,37500.0,37279.0
San Lorenzo ,37693.0,37671.0,37613.0,37260.0
Juncos ,37012.0,37030.0,36993.0,36672.0
Dorado ,35879.0,35902.0,35934.0,35663.0
Guayama ,36614.0,36474.0,35624.0,35262.0
Las Piedras ,35180.0,35179.0,35143.0,34814.0
Vega Alta ,35395.0,35367.0,35205.0,34786.0
Corozal ,34571.0,34551.0,34582.0,34322.0
Coamo ,34668.0,34603.0,34352.0,33887.0
Yauco ,34172.0,34048.0,33603.0,32904.0
Camuy ,32827.0,32818.0,32882.0,32620.0
Fajardo ,32124.0,32087.0,31819.0,31375.0
San Germán ,31879.0,31824.0,31572.0,31174.0
Yabucoa ,30426.0,30329.0,29945.0,29305.0
Naranjito ,29241.0,29246.0,29345.0,29208.0
Barranquitas ,28983.0,28981.0,29071.0,28944.0
Morovis ,28727.0,28704.0,28590.0,28277.0
Lares ,28105.0,28090.0,27986.0,27774.0
Utuado ,28287.0,28225.0,27975.0,27535.0
Añasco ,25596.0,25570.0,25414.0,25026.0
Salinas ,25789.0,25722.0,25467.0,25000.0
Aibonito ,24637.0,24633.0,24681.0,24555.0
Aguas Buenas ,24223.0,24189.0,23975.0,23538.0
Quebradillas ,23638.0,23619.0,23540.0,23332.0
Naguabo ,23386.0,23384.0,23275.0,22964.0
Lajas ,23334.0,23279.0,23211.0,22936.0
Loíza ,23693.0,23608.0,23230.0,22657.0
Barceloneta ,22657.0,22669.0,22632.0,22416.0
Cataño ,23155.0,23113.0,22811.0,22364.0
Sabana Grande ,22729.0,22701.0,22632.0,22351.0
Villalba ,22093.0,22041.0,21817.0,21466.0
Orocovis ,21434.0,21431.0,21413.0,21229.0
Santa Isabel ,20281.0,20269.0,20114.0,19822.0
Peñuelas ,20399.0,20349.0,20142.0,19763.0
Comerío ,18883.0,18867.0,18855.0,18619.0
Adjuntas ,18020.0,18010.0,18026.0,17905.0
Luquillo ,17781.0,17766.0,17684.0,17449.0
Guayanilla ,17784.0,17739.0,17478.0,17064.0
Ciales ,16984.0,16972.0,16938.0,16742.0
Patillas ,15985.0,15937.0,15804.0,15524.0
Hormigueros ,15654.0,15618.0,15567.0,15413.0
Rincón ,15187.0,15206.0,15335.0,15316.0
Arroyo ,15843.0,15817.0,15607.0,15289.0
Jayuya ,14779.0,14771.0,14707.0,14495.0
Guánica ,13787.0,13686.0,13279.0,12800.0
Florida ,11692.0,11682.0,11667.0,11538.0
Ceiba ,11307.0,11284.0,11146.0,10931.0
Maunabo ,10589.0,10581.0,10525.0,10368.0
Las Marías ,8874.0,8856.0,8818.0,8705.0
Vieques ,8249.0,8236.0,8172.0,8043.0
Maricao ,4755.0,4752.0,4680.0,4575.0
Culebra ,1792.0,1790.0,1783.0,1769.0
