Date,Puerto Rico SA,Puerto Rico NSA,Adjuntas NSA,Aguada NSA,Aguadilla NSA,Aguas Buenas NSA,Aibonito NSA,Añasco NSA,Arecibo NSA,Arroyo NSA,Barceloneta NSA,Barranquitas NSA,Bayamón NSA,Cabo Rojo NSA,Caguas NSA,Camuy NSA,Canóvanas NSA,Carolina NSA,Cataño NSA,Cayey NSA,Ceiba NSA,Ciales NSA,Cidra NSA,Coamo NSA,Comerío NSA,Corozal NSA,Culebra NSA,Dorado NSA,Fajardo NSA,Florida NSA,Guánica NSA,Guayama NSA,Guayanilla NSA,Guaynabo NSA,Gurabo NSA,Hatillo NSA,Hormigueros NSA,Humacao NSA,Isabela NSA,Jayuya NSA,Juana Diaz NSA,Juncos NSA,Lajas NSA,Lares NSA,Las Marías NSA,Las Piedras NSA,Loiza NSA,Luquillo NSA,Manatí NSA,Maricao NSA,Maunabo NSA,Mayaguez NSA,Moca NSA,Morovis NSA,Naguabo NSA,Naranjito NSA,Orocovis NSA,Patillas NSA,Peñuelas NSA,Ponce NSA,Quebradillas NSA,Rincón NSA,Rio Grande NSA,Sabana Grande NSA,Salinas NSA,San Germán NSA,San Juan NSA,San Lorenzo NSA,San Sebastián NSA,Santa Isabel NSA,Toa Alta NSA,Toa Baja NSA,Trujillo Alto NSA,Utuado NSA,Vega Alta NSA,Vega Baja NSA,Vieques NSA,Villalba NSA,Yabucoa NSA,Yauco NSA,"Mayaguez-San Germán, PR CSA NSA","Ponce-Coamo-Santa Isabel, PR CSA NSA","San Juan-Carolina, PR CSA NSA","Adjuntas, PR MicroSA NSA","Coamo, PR MicroSA NSA","Coco, Salinas, PR MicroSA NSA","Jayuya, PR MicroSA NSA","Santa Isabel, PR MicroSA NSA","Aguadilla-Isabela, PR MSA NSA","Arecibo, PR MSA NSA","Guayama, PR MSA NSA","Mayaguez, PR MSA NSA","Ponce, PR MSA NSA","San Germán, PR MSA NSA","San Juan-Carolina-Caguas, PR MSA NSA"
2020-09,87258,97905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08,86123,88480,417,978,1261,594,517,642,1974,364,594,702,5667,1095,3625,717,1360,5172,778,1068,336,449,878,902,455,1029,75,906,1105,373,424,787,462,2012,1009,958,417,1263,916,304,1051,1038,531,725,249,879,774,622,932,130,243,1658,914,847,606,904,579,372,549,3524,567,412,1616,501,669,761,10454,884,998,570,1883,2217,1603,526,976,1503,260,624,785,955,4963,9478,65645,417,902,669,304,570,7372,4216,1523,2075,7589,2888,59237
2020-07,87804,75757,348,854,1115,516,451,547,1767,309,530,624,4836,919,3072,629,1150,4405,682,901,283,370,770,787,389,881,64,782,904,308,340,701,367,1775,865,833,359,1068,812,253,905,878,437,618,218,746,646,522,796,112,202,1453,799,733,511,778,481,310,463,3051,499,346,1343,417,560,645,8955,736,861,474,1661,1888,1410,458,830,1274,205,518,660,793,4230,8046,56220,348,787,560,253,474,6410,3728,1320,1812,6437,2418,50612
2020-06,92311,90194,395,1058,1307,629,527,671,2167,381,660,744,5742,1120,3650,768,1359,5271,786,1101,336,427,937,872,463,1037,70,939,1053,367,389,824,425,2141,1026,1008,433,1297,953,282,1058,1043,510,740,277,895,729,605,942,127,247,1792,966,846,607,942,584,377,521,3652,612,446,1577,496,648,752,10649,885,1029,515,2013,2247,1670,538,980,1561,242,581,763,912,5103,9320,67062,395,872,648,282,515,7708,4555,1582,2225,7538,2878,60277
2020-05,93122,97038,435,1220,1397,673,545,741,2352,398,677,775,6229,1339,3940,882,1432,5614,767,1160,351,469,982,917,499,1117,63,976,1152,372,448,884,469,2187,1064,1116,523,1398,1050,267,1174,1077,629,836,312,939,741,636,1015,130,271,2087,1094,894,643,1017,644,395,610,4130,728,565,1680,584,694,903,10762,963,1187,530,2143,2359,1724,570,1046,1637,226,651,855,1081,6065,10445,70874,435,917,694,267,530,8660,5078,1677,2610,8563,3455,63425
2020-02,92713,80739,763,1096,1232,550,583,689,2054,616,607,538,3450,1070,2729,741,933,2996,463,977,279,354,848,1093,434,682,26,652,850,328,642,1084,689,1332,928,1936,392,1528,985,515,1270,871,604,1129,293,852,609,467,789,302,508,1924,1001,616,614,531,524,675,701,3667,637,838,1022,777,876,980,6203,966,1431,744,1306,1433,1112,789,725,1070,146,1332,1060,1681,5747,12582,51938,763,1093,876,515,744,9190,5368,2375,2316,9982,3431,43319
2020-01,93776,98741,790,1310,1542,654,767,846,2654,704,715,740,4200,1410,3404,961,1084,3665,577,1272,359,485,1059,1358,522,865,29,815,1093,391,892,1354,794,1605,1122,2027,514,1868,1208,612,1544,1095,827,1233,389,1082,731,556,978,309,506,2509,1224,827,792,675,698,725,878,4542,815,840,1260,959,1028,1306,7676,1101,1586,959,1619,1734,1421,926,932,1329,178,1452,1241,1993,7525,15202,63783,790,1358,1028,612,959,10715,6457,2783,3023,12095,4502,53515
2019-12,90417,95983,755,1269,1553,614,696,798,2563,712,694,682,4337,1215,3318,889,1099,3810,596,1205,346,446,1044,1324,473,828,34,814,1124,357,650,1378,737,1669,1021,2122,491,1731,1178,625,1524,1083,657,1176,325,1055,748,610,973,280,455,2256,1149,753,746,653,555,739,876,4501,746,842,1267,773,1110,1074,7981,1069,1567,1151,1588,1779,1353,842,894,1317,173,1324,1255,1567,6466,14409,63297,755,1324,1110,625,1151,10374,6320,2829,2747,11179,3719,53038
2019-11,90149,89120,549,1204,1451,579,632,745,2387,623,672,623,4134,1109,3102,832,1030,3632,570,1100,347,415,970,1172,436,800,30,770,1060,345,604,1302,653,1513,987,1930,438,1621,1085,560,1451,1013,609,1026,315,998,696,568,915,272,362,2153,1062,734,706,596,496,604,813,4264,670,734,1194,719,1087,1017,7398,994,1383,1100,1523,1706,1255,753,813,1258,153,1136,1172,1385,6045,13127,59170,549,1172,1087,560,1100,9443,5819,2529,2591,10306,3454,49735
2019-10,88536,95954,598,1236,1531,645,689,771,2482,632,728,697,4463,1232,3460,883,1180,4010,621,1206,375,448,1083,1265,489,875,30,847,1169,372,695,1408,710,1734,1113,1503,474,1776,1117,580,1633,1115,702,974,312,1100,734,619,1003,240,396,2378,1100,799,782,678,518,591,892,4703,723,574,1336,829,1137,1122,8190,1065,1369,1182,1741,1873,1418,806,868,1388,182,1122,1230,1401,6737,14201,64192,598,1265,1137,580,1182,9478,5591,2631,2852,11156,3885,54833
