Date,Puerto Rico SA,Puerto Rico NSA,Adjuntas NSA,Aguada NSA,Aguadilla NSA,Aguas Buenas NSA,Aibonito NSA,Añasco NSA,Arecibo NSA,Arroyo NSA,Barceloneta NSA,Barranquitas NSA,Bayamón NSA,Cabo Rojo NSA,Caguas NSA,Camuy NSA,Canóvanas NSA,Carolina NSA,Cataño NSA,Cayey NSA,Ceiba NSA,Ciales NSA,Cidra NSA,Coamo NSA,Comerío NSA,Corozal NSA,Culebra NSA,Dorado NSA,Fajardo NSA,Florida NSA,Guánica NSA,Guayama NSA,Guayanilla NSA,Guaynabo NSA,Gurabo NSA,Hatillo NSA,Hormigueros NSA,Humacao NSA,Isabela NSA,Jayuya NSA,Juana Diaz NSA,Juncos NSA,Lajas NSA,Lares NSA,Las Marías NSA,Las Piedras NSA,Loiza NSA,Luquillo NSA,Manatí NSA,Maricao NSA,Maunabo NSA,Mayaguez NSA,Moca NSA,Morovis NSA,Naguabo NSA,Naranjito NSA,Orocovis NSA,Patillas NSA,Peñuelas NSA,Ponce NSA,Quebradillas NSA,Rincón NSA,Rio Grande NSA,Sabana Grande NSA,Salinas NSA,San Germán NSA,San Juan NSA,San Lorenzo NSA,San Sebastián NSA,Santa Isabel NSA,Toa Alta NSA,Toa Baja NSA,Trujillo Alto NSA,Utuado NSA,Vega Alta NSA,Vega Baja NSA,Vieques NSA,Villalba NSA,Yabucoa NSA,Yauco NSA,"Mayaguez-San Germán, PR CSA NSA","Ponce-Coamo-Santa Isabel, PR CSA NSA","San Juan-Carolina, PR CSA NSA","Adjuntas, PR MicroSA NSA","Coamo, PR MicroSA NSA","Coco, Salinas, PR MicroSA NSA","Jayuya, PR MicroSA NSA","Santa Isabel, PR MicroSA NSA","Aguadilla-Isabela, PR MSA NSA","Arecibo, PR MSA NSA","Guayama, PR MSA NSA","Mayaguez, PR MSA NSA","Ponce, PR MSA NSA","San Germán, PR MSA NSA","San Juan-Carolina-Caguas, PR MSA NSA"
9/1/2020,954139,950359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2020,951707,960458,3461,10303,12566,5641,5594,7762,21873,3940,4977,6287,58251,11974,42298,8752,14230,54945,6930,14275,3191,3165,13747,8393,4236,7658,858,11841,9352,2800,3388,9465,4471,34488,16148,12023,4689,14883,10223,3544,13633,10661,4374,5923,2246,9768,7369,5343,10056,1603,2374,18708,8987,6856,7092,6086,4158,3534,4868,39710,5413,3945,14864,5115,5958,8342,121341,10099,8612,6834,24232,26075,24472,5674,8443,11324,2228,6068,7290,8162,53202,98988,723798,3461,8393,5958,3544,6834,73995,48061,16939,23397,80300,29805,652840
7/1/2020,946949,966381,3361,10347,12581,5687,5539,7792,21828,3964,5007,6287,58861,11969,42705,8745,14356,55481,7015,14429,3230,3167,13857,8388,4252,7679,847,11943,9452,2814,3343,9525,4378,34938,16289,11967,4725,14995,10233,3478,13597,10711,4325,5708,2224,9840,7424,5400,10084,1565,2394,18827,9000,6882,7144,6116,4179,3547,4911,40154,5432,3963,14973,5067,5943,8349,123100,10168,8527,6504,24447,26298,24720,5683,8496,11375,2246,6128,7346,8126,53262,98890,730031,3361,8388,5943,3478,6504,73834,47972,17036,23552,80637,29710,659080
6/1/2020,942830,973196,3393,10442,12697,5717,5511,7870,21812,3991,5030,6334,59258,12170,42980,8748,14444,55833,7067,14528,3252,3191,13936,8486,4273,7714,870,12020,9510,2824,3314,9599,4468,35211,16382,11968,4748,15056,10317,3511,13598,10745,4417,5661,2248,9896,7463,5434,10114,1552,2411,18891,9089,6911,7184,6150,4217,3577,4937,40393,5446,3999,15048,5132,5923,8490,124145,10218,8589,7348,24590,26451,24883,5656,8536,11406,2296,6159,7395,8125,53848,100221,734332,3393,8486,5923,3511,7348,74320,47974,17167,23639,80994,30209,663268
5/1/2020,939024,918881,3281,9799,11930,5403,5230,7383,20286,3796,4759,6009,55921,11369,40593,8137,13646,52727,6664,13712,3066,3017,13167,8123,4048,7312,816,11354,8976,2674,3169,9130,4284,33184,15482,11162,4492,14221,9695,3364,12906,10173,4151,5394,2138,9357,7057,5127,9573,1493,2278,17879,8534,6548,6789,5823,3992,3407,4670,38137,5060,3753,14236,4818,5681,7925,116897,9666,8083,7156,23234,24996,23492,5335,8080,10812,2291,5833,6992,7732,50634,95291,692946,3281,8123,5681,3364,7156,69906,44645,16333,22371,76731,28263,626287
4/1/2020,956078,957316,3375,10200,12474,5680,5519,7693,20820,3832,5017,6355,58410,11804,42525,8320,14310,55228,6940,14306,3186,3134,13797,8340,4245,7706,822,11847,9366,2831,3354,9216,3972,34421,16264,11437,4655,14766,10130,3531,13393,10737,4334,5683,2238,9816,7426,5357,10109,1571,2392,18537,8917,6915,7085,6156,4194,3444,4831,39285,5158,3917,14977,5070,5689,8205,120900,10186,8376,8088,24382,26249,24561,5619,8524,11443,2335,6000,7331,8064,52605,98702,722509,3375,8340,5689,3531,8088,73009,45735,16492,23192,78899,29413,654593
3/1/2020,962208,933741,3353,9939,12164,5526,5402,7499,20360,3734,4875,6225,56784,11500,41335,8144,13909,53672,6745,13912,3097,3066,13414,8235,4143,7523,823,11539,9108,2751,3328,8982,3893,33482,15802,11214,4529,14384,9885,3491,13159,10444,4240,5688,2192,9554,7218,5209,9901,1579,2326,18017,8713,6728,6909,5989,4097,3363,4708,38279,5039,3814,14565,5017,5630,7988,117602,9910,8274,8614,23699,25510,23875,5515,8284,11123,2274,5859,7142,7925,51291,97353,703245,3353,8235,5630,3491,8614,71491,44757,16079,22546,77151,28745,636779
2/1/2020,975464,952348,3399,10086,12317,5647,5542,7607,20754,3791,5002,6454,57905,11842,42158,8323,14190,54744,6873,14181,3157,3151,13684,8435,4247,7749,844,11777,9289,2812,3361,9155,4045,34085,16125,11463,4648,14671,10769,3492,12941,10669,4394,5845,2206,9752,7368,5310,10149,1592,2375,18467,8858,6881,7052,6138,4236,3437,4847,39310,5130,3858,14867,5124,5782,8231,119714,10124,8599,7519,24182,26032,24353,5605,8462,11363,2321,6048,7284,8152,52706,98057,717589,3399,8435,5782,3492,7519,73544,45670,16383,23115,78704,29591,649754
1/1/2020,974958,960875,3445,10236,12509,5697,5627,7724,21052,3836,5034,6528,58336,11990,42506,8439,14312,55196,6920,14289,3178,3183,13798,8450,4288,7835,836,11874,9359,2839,3354,9269,4070,34299,16269,11634,4699,14788,10926,3548,13043,10781,4455,6014,2209,9841,7437,5349,10162,1638,2395,18675,9002,6956,7120,6203,4275,3482,4877,39495,5190,3915,15002,5205,5898,8341,120364,10225,8710,7521,24393,26259,24546,5728,8547,11496,2277,6085,7351,8240,53365,98580,723657,3445,8450,5898,3548,7521,74764,46315,16587,23374,79164,29991,654857
12/1/2019,978256,971090,3451,10331,12650,5774,5700,7797,21279,3879,5118,6610,59010,12154,43059,8526,14508,55925,6988,14440,3206,3220,13978,8547,4333,7941,829,11992,9462,2892,3379,9369,4106,34546,16511,11732,4746,14936,10955,3598,13131,10967,4488,6070,2220,9972,7554,5410,10315,1643,2428,18874,9089,7077,7180,6310,4322,3519,4916,39702,5212,3957,15236,5335,5902,8459,121050,10377,8749,7575,24738,26641,24834,5797,8702,11725,2281,6105,7443,8312,54056,99224,731848,3451,8547,5902,3598,7575,75395,46749,16767,23620,79651,30436,662430
