Date,Puerto Rico SA,Puerto Rico NSA,Adjuntas NSA,Aguada NSA,Aguadilla NSA,Aguas Buenas NSA,Aibonito NSA,Añasco NSA,Arecibo NSA,Arroyo NSA,Barceloneta NSA,Barranquitas NSA,Bayamón NSA,Cabo Rojo NSA,Caguas NSA,Camuy NSA,Canóvanas NSA,Carolina NSA,Cataño NSA,Cayey NSA,Ceiba NSA,Ciales NSA,Cidra NSA,Coamo NSA,Comerío NSA,Corozal NSA,Culebra NSA,Dorado NSA,Fajardo NSA,Florida NSA,Guánica NSA,Guayama NSA,Guayanilla NSA,Guaynabo NSA,Gurabo NSA,Hatillo NSA,Hormigueros NSA,Humacao NSA,Isabela NSA,Jayuya NSA,Juana Diaz NSA,Juncos NSA,Lajas NSA,Lares NSA,Las Marías NSA,Las Piedras NSA,Loiza NSA,Luquillo NSA,Manatí NSA,Maricao NSA,Maunabo NSA,Mayaguez NSA,Moca NSA,Morovis NSA,Naguabo NSA,Naranjito NSA,Orocovis NSA,Patillas NSA,Peñuelas NSA,Ponce NSA,Quebradillas NSA,Rincón NSA,Rio Grande NSA,Sabana Grande NSA,Salinas NSA,San Germán NSA,San Juan NSA,San Lorenzo NSA,San Sebastián NSA,Santa Isabel NSA,Toa Alta NSA,Toa Baja NSA,Trujillo Alto NSA,Utuado NSA,Vega Alta NSA,Vega Baja NSA,Vieques NSA,Villalba NSA,Yabucoa NSA,Yauco NSA,"Mayaguez-San Germán, PR CSA NSA","Ponce-Coamo-Santa Isabel, PR CSA NSA","San Juan-Carolina, PR CSA NSA","Adjuntas, PR MicroSA NSA","Coamo, PR MicroSA NSA","Coco, Salinas, PR MicroSA NSA","Jayuya, PR MicroSA NSA","Santa Isabel, PR MicroSA NSA","Aguadilla-Isabela, PR MSA NSA","Arecibo, PR MSA NSA","Guayama, PR MSA NSA","Mayaguez, PR MSA NSA","Ponce, PR MSA NSA","San Germán, PR MSA NSA","San Juan-Carolina-Caguas, PR MSA NSA"
2020-09,1041397,1048264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08,1037830,1048938,3878,11281,13827,6235,6111,8404,23847,4304,5571,6989,63918,13069,45923,9469,15590,60117,7708,15343,3527,3614,14625,9295,4691,8687,933,12747,10457,3173,3812,10252,4933,36500,17157,12981,5106,16146,11139,3848,14684,11699,4905,6648,2495,10647,8143,5965,10988,1733,2617,20366,9901,7703,7698,6990,4737,3906,5417,43234,5980,4357,16480,5616,6627,9103,131795,10983,9610,7404,26115,28292,26075,6200,9419,12827,2488,6692,8075,9117,58165,108466,789443,3878,9295,6627,3848,7404,81367,52277,18462,25472,87889,32693,712077
2020-07,1034753,1042138,3709,11201,13696,6203,5990,8339,23595,4273,5537,6911,63697,12888,45777,9374,15506,59886,7697,15330,3513,3537,14627,9175,4641,8560,911,12725,10356,3122,3683,10226,4745,36713,17154,12800,5084,16063,11045,3731,14502,11589,4762,6326,2442,10586,8070,5922,10880,1677,2596,20280,9799,7615,7655,6894,4660,3857,5374,43205,5931,4309,16316,5484,6503,8994,132055,10904,9388,6978,26108,28186,26130,6141,9326,12649,2451,6646,8006,8919,57492,106936,786251,3709,9175,6503,3731,6978,80244,51700,18356,25364,87074,32128,709692
2020-06,1035141,1063390,3788,11500,14004,6346,6038,8541,23979,4372,5690,7078,65000,13290,46630,9516,15803,61104,7853,15629,3588,3618,14873,9358,4736,8751,940,12959,10563,3191,3703,10423,4893,37352,17408,12976,5181,16353,11270,3793,14656,11788,4927,6401,2525,10791,8192,6039,11056,1679,2658,20683,10055,7757,7791,7092,4801,3954,5458,44045,6058,4445,16625,5628,6571,9242,134794,11103,9618,7863,26603,28698,26553,6194,9516,12967,2538,6740,8158,9037,58951,109541,801394,3788,9358,6571,3793,7863,82028,52529,18749,25864,88532,33087,723545
2020-05,1032146,1015919,3716,11019,13327,6076,5775,8124,22638,4194,5436,6784,62150,12708,44533,9019,15078,58341,7431,14872,3417,3486,14149,9040,4547,8429,879,12330,10128,3046,3617,10014,4753,35371,16546,12278,5015,15619,10745,3631,14080,11250,4780,6230,2450,10296,7798,5763,10588,1623,2549,19966,9628,7442,7432,6840,4636,3802,5280,42267,5788,4318,15916,5402,6375,8828,127659,10629,9270,7686,25377,27355,25216,5905,9126,12449,2517,6484,7847,8813,56699,105736,763820,3716,9040,6375,3631,7686,78566,49723,18010,24981,85294,31718,689712
2020-02,1048791,1038055,4138,11296,13706,6230,6102,8382,22874,4448,5624,6893,61860,12874,45254,9061,15243,58224,7403,15283,3465,3488,14645,9433,4679,8388,848,12499,10216,3159,3996,10300,4661,35753,17192,13373,5047,16294,11115,4046,14663,11608,4938,6812,2531,10668,8035,5824,10898,1873,2900,20461,9918,7531,7699,6687,4718,4119,5532,42952,5795,4755,15999,5847,6565,9185,127103,11152,9807,8832,25688,27682,25673,6408,9249,12513,2481,7332,8391,9745,58352,111284,774447,4138,9433,6565,4046,8832,82199,51103,18867,25508,88881,32844,697912
2020-01,1055984,1032482,4143,11249,13706,6180,6169,8345,23014,4438,5590,6965,60984,12910,44739,9105,14993,57337,7322,15184,3456,3551,14473,9593,4665,8388,852,12354,10201,3142,4220,10336,4687,35087,16924,13241,5043,16252,11093,4103,14703,11539,5067,6921,2581,10636,7949,5765,10879,1888,2832,20526,9937,7555,7701,6664,4795,4088,5586,42821,5854,4654,15825,5976,6658,9294,125278,11011,9860,9573,25318,27244,25296,6441,9216,12452,2452,7311,8383,9918,58816,112555,767028,4143,9593,6658,4103,9573,82206,51214,18862,25569,89246,33247,690294
2019-12,1065881,1048331,4154,11355,13870,6261,6238,8405,23317,4503,5696,7136,62242,13057,45476,9212,15289,58554,7469,15386,3503,3597,14728,9759,4720,8577,878,12591,10413,3169,4011,10533,4782,35754,17146,13585,5139,16402,11947,4117,14465,11752,5051,7021,2531,10807,8116,5920,11122,1872,2830,20723,10007,7634,7798,6791,4791,4176,5723,43811,5876,4700,16134,5897,6892,9305,127695,11193,10166,8670,25770,27811,25706,6447,9356,12680,2494,7372,8539,9719,59172,112466,780886,4154,9759,6892,4117,8670,83918,51990,19212,25862,89883,33310,702792
2019-11,1065107,1049995,3994,11440,13960,6276,6259,8469,23439,4459,5706,7151,62470,13099,45608,9271,15342,58828,7490,15389,3525,3598,14768,9622,4724,8635,866,12644,10419,3184,3958,10571,4723,35812,17256,13564,5137,16409,12011,4108,14494,11794,5064,7040,2524,10839,8133,5917,11077,1910,2757,20828,10064,7690,7826,6799,4771,4086,5690,43759,5860,4649,16196,5924,6985,9358,127762,11219,10093,8621,25916,27965,25801,6481,9360,12754,2430,7221,8523,9625,59410,111707,782827,3994,9622,6985,4108,8621,84207,52134,19116,25965,89470,33445,704592
2019-10,1066792,1067044,4049,11567,14181,6419,6389,8568,23761,4511,5846,7307,63473,13386,46519,9409,15688,59935,7609,15646,3581,3668,15061,9812,4822,8816,859,12839,10631,3264,4074,10777,4816,36280,17624,13235,5220,16712,12072,4178,14764,12082,5190,7044,2532,11072,8288,6029,11318,1883,2824,21252,10189,7876,7962,6988,4840,4110,5808,44405,5935,4531,16572,6164,7039,9581,129240,11442,10118,8757,26479,28514,26252,6603,9570,13113,2463,7227,8673,9713,60793,113425,796040,4049,9812,7039,4178,8757,84873,52340,19398,26472,90807,34321,717263
